WEEK,DAY,EXERCISE,TIME,REPS,SETS,RPE,REPS LOG,RPE LOG
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Warm-up — bordo 2 cm due mani (grip aperto),8 s,1,2,4-5,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Bordo 2 cm due mani — CALIBRAZIONE (log RPE per tarare il blocco principale),10 s,1,1,log,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Bordo 2 cm due mani — principale (10-12s dritti se calib RPE>=6 altrimenti repeaters 7:3x5),10-12 s o repeaters 7:3,1 o 5,3,6-7,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Svasa (più aperta del Moon) due mani,10-12 s,1,2,5-6,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),(Opzionale) prese grandi repeaters 7:3,7 s on / 3 s off,6,1,4-5,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Cool-down — shake-out mani,3-5 min,—,1,—,,
,,,,,,,,
2,Tue 11 or Fri 14 Aug (RE-ENTRY after 2-week break — load ~15% below Meso 3 maintenance; RPE cap 7 is a HARD ceiling — re-entry is the classic finger-injury window),Warm-up — prese grandi due mani + bordo 20 mm submax (extra progressivo dopo lo stop),8-10 s,1,3,4-5,,
2,Tue 11 or Fri 14 Aug (RE-ENTRY after 2-week break — load ~15% below Meso 3 maintenance; RPE cap 7 is a HARD ceiling — re-entry is the classic finger-injury window),Sospensioni due mani 20 mm — semiarcuata @ +13 kg,6 s,1,3,6-7,,
2,Tue 11 or Fri 14 Aug (RE-ENTRY after 2-week break — load ~15% below Meso 3 maintenance; RPE cap 7 is a HARD ceiling — re-entry is the classic finger-injury window),Sospensioni svase (Moon hangboard) @ +13 kg,6 s,1,3,6-7,,
2,Tue 11 or Fri 14 Aug (RE-ENTRY after 2-week break — load ~15% below Meso 3 maintenance; RPE cap 7 is a HARD ceiling — re-entry is the classic finger-injury window),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
3,Mon 17 Aug (Rebuild 1/2 — heavier day of the week; progressing toward Meso 2 refs 18.5/23.5 kg; NO PRs; RPE 7.5 is a target not a floor),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
3,Mon 17 Aug (Rebuild 1/2 — heavier day of the week; progressing toward Meso 2 refs 18.5/23.5 kg; NO PRs; RPE 7.5 is a target not a floor),Sospensioni due mani 20 mm — semiarcuata @ +16 kg,7 s,1,4,7.5,,
3,Mon 17 Aug (Rebuild 1/2 — heavier day of the week; progressing toward Meso 2 refs 18.5/23.5 kg; NO PRs; RPE 7.5 is a target not a floor),Sospensioni svase (Moon hangboard) @ +17 kg,7 s,1,4,7.5,,
3,Mon 17 Aug (Rebuild 1/2 — heavier day of the week; progressing toward Meso 2 refs 18.5/23.5 kg; NO PRs; RPE 7.5 is a target not a floor),Back three (3 dita stese 20 mm) @ +14 kg,6 s,1,3,7.5,,
3,Mon 17 Aug (Rebuild 1/2 — heavier day of the week; progressing toward Meso 2 refs 18.5/23.5 kg; NO PRs; RPE 7.5 is a target not a floor),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),Sospensioni due mani 20 mm — semiarcuata @ +16 kg,7 s,1,3,7-7.5,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),Stacco pinza mono dx @ 17 kg,5-6 s,1,3,7.5,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),Stacco pinza mono sx @ 16 kg,5-6 s,1,3,7.5,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),(Opzionale) repeaters 7:3 BW su 20 mm,7 s on / 3 s off,6,2,6-7,,
3,Fri 21 Aug (Rebuild 2/2 — pinch + lighter edge; repeaters finisher is cuttable first if tired),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),(Opzionale) Sospensione due mani 20 mm AMRAP @ +25 kg — riferimento non PR; se fatto ridurre semiarcuata a 4 serie,AMRAP,1,1,log,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),Sospensioni due mani 20 mm — semiarcuata @ +17 kg,7 s,1,5,8,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),Sospensioni svase (Moon hangboard) @ +20 kg,7 s,1,5,8,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),Back three (3 dita stese 20 mm) @ +16 kg,6 s,1,3,7.5-8,,
4,Mon 24 Aug (Top loading of the meso — still short of PR territory 18.5/23.5 kg; AMRAP only if rested AND cool weather — otherwise skip without guilt),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
4,Fri 28 Aug (Lighter of the two — must NOT compromise a possible weekend outdoor day; skin-friendly; no finisher),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
4,Fri 28 Aug (Lighter of the two — must NOT compromise a possible weekend outdoor day; skin-friendly; no finisher),Sospensioni due mani 20 mm — semiarcuata @ +16 kg,6-7 s,1,3,7,,
4,Fri 28 Aug (Lighter of the two — must NOT compromise a possible weekend outdoor day; skin-friendly; no finisher),Stacco pinza mono dx @ 18.5 kg,5-6 s,1,3,7.5,,
4,Fri 28 Aug (Lighter of the two — must NOT compromise a possible weekend outdoor day; skin-friendly; no finisher),Stacco pinza mono sx @ 17.5 kg,5-6 s,1,3,7.5,,
4,Fri 28 Aug (Lighter of the two — must NOT compromise a possible weekend outdoor day; skin-friendly; no finisher),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
5,Mon 31 Aug (Consolidation + mini-taper — moderate load; hand off FRESH fingers to the autumn on-sight meso; no AMRAP; no PRs),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
5,Mon 31 Aug (Consolidation + mini-taper — moderate load; hand off FRESH fingers to the autumn on-sight meso; no AMRAP; no PRs),Sospensioni due mani 20 mm — semiarcuata @ +15.5 kg,6-7 s,1,3,7,,
5,Mon 31 Aug (Consolidation + mini-taper — moderate load; hand off FRESH fingers to the autumn on-sight meso; no AMRAP; no PRs),Sospensioni svase (Moon hangboard) @ +17 kg,6-7 s,1,3,7,,
5,Mon 31 Aug (Consolidation + mini-taper — moderate load; hand off FRESH fingers to the autumn on-sight meso; no AMRAP; no PRs),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
