WEEK,DAY,EXERCISE,TIME,REPS,SETS,RPE,REST,NOTES
2,Mon 21 Sep (LIGHT maintenance — single session; fresh fingers + skin for the 25-27 Sep outdoor trip; RPE hard ceiling 7),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~27 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,6,2.5 min between rounds,Maintenance dose only (2 rounds). ~27 kg pulley ASSIST (DELOAD) → per-hand ~18-19 kg (CF+reserve). RPE 6 ceiling — keep the CF pattern ticking without fatiguing fingers/skin before the trip. No right-hand unilateral this week.
2,Mon 21 Sep (LIGHT maintenance — single session; fresh fingers + skin for the 25-27 Sep outdoor trip; RPE hard ceiling 7),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,No finger deadlift / no pinch this week — trip priority.

3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2-3,4-5,60-90 s,20 mm half-crimp; assume some trip fatigue — ramp generously
3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),Max hang — sospensioni due mani 20 mm semiarcuata @ +18 kg,7 s,1,4,8,2.5-3 min,"Last progressive push toward Meso 2 ref 18.5 kg. Calibrated from W4 24 Aug +17 kg @ RPE 8 clean -> +18 kg. If trip-fatigued, hold at +16-17 kg (RPE leads)."
3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),Max hang — sospensioni svase (Moon) @ +21 kg,7 s,1,4,8,2.5-3 min,Toward Meso 2 ref 23.5 kg. Calibrated from W4 24 Aug +20 kg @ RPE 8 -> +21 kg. Back off if fatigued.
3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),Finger deadlift 20 mm — strict FILMED active semi-crimp @ 36 kg,3-5 s hold,2,2,6,90 s,Maintenance (~75% of 48 kg 1RM). Film semi-crimp; never fatiguing; protect wrist.
3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~26 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,4 rounds,7,2.5 min between rounds,CF now primary. Volume step-up to 4 rounds. ~26 kg pulley ASSIST (DELOAD) → per-hand ~19-20 kg (CF+reserve); nudge assist down over the block as CF rises. RPE 7 — all rounds completable with seconds in reserve.
3,Mon 29 Sep (Primary — post-trip bridge; first 1-2 days recover from 3 outdoor days; last progressive max-hang push; CF steps up as primary),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),Max hang — sospensioni due mani 20 mm semiarcuata @ +16 kg,6-7 s,1,3,7,2-3 min,Lighter maintenance vs Mon; keep fingers for weekend.
3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),CF repeaters 7:3 — RIGHT-hand pulley-ASSISTED one-hand 20 mm @ 47 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,3 rounds,7,2.5 min between rounds,Right-hand emphasis (close R 15.85 vs L 18.67 kg gap). 47 kg ASSIST = per-hand ~18 kg (CF+reserve). Assist is DELOAD. Progress assist down over block as R CF rises.
3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),CF repeaters 7:3 — LEFT-hand pulley-ASSISTED one-hand 20 mm @ 45 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,7,2.5 min between rounds,Left = fewer rounds than right (2 vs 3) for unilateral R bias. 45 kg assist = per-hand ~20 kg (L CF+reserve). Assist is DELOAD.
3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),Stacco pinza mono dx @ 18.5 kg,5-6 s,1,2,7,90 s,Maintenance; right-side. From 28 Aug dx 18.5 kg @ RPE 7.5.
3,Fri 03 Oct (2nd — CF right-hand bias primary; lighter max-hang; pinch; protect weekend),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),Max hang — sospensioni due mani 20 mm semiarcuata @ +17 kg,7 s,1,3,7.5,2.5 min,Maintenance now (CF is the focus). Hold ~Meso 2 territory; no new PRs. From W4 24 Aug +17 kg @ RPE 8.
4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),Max hang — sospensioni svase (Moon) @ +20 kg,7 s,1,3,7.5,2.5 min,Maintenance. From W4 24 Aug +20 kg @ RPE 8.
4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~26 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,6 rounds,7-8,2.5 min between rounds,VOLUME PEAK — full 6-series dose (~6 min hang time). ~26 kg pulley ASSIST (DELOAD) → per-hand ~19-20 kg (CF+reserve). This is the #1 on-sight lever. RPE 7-8 but all 6 rounds must complete — add assist if fading; end a rep early before form breaks (seconds-in-reserve).
4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),Finger deadlift 20 mm — strict FILMED active semi-crimp @ 36 kg,3-5 s hold,2,1,6,90 s,Maintenance single set only (CF volume is priority). Film semi-crimp.
4,Mon 06 Oct (Primary — AE/CF CORE BUILD = volume peak; max-hang drops to maintenance; CF at full dose),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

4,Fri 10 Oct (2nd — CF right-hand bias at peak volume; light max-hang; protect weekend outdoor),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
4,Fri 10 Oct (2nd — CF right-hand bias at peak volume; light max-hang; protect weekend outdoor),Max hang — sospensioni due mani 20 mm semiarcuata @ +15 kg,6-7 s,1,3,7,2-3 min,Light maintenance; protect fingers for weekend lead.
4,Fri 10 Oct (2nd — CF right-hand bias at peak volume; light max-hang; protect weekend outdoor),CF repeaters 7:3 — RIGHT-hand pulley-ASSISTED one-hand 20 mm @ 46 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,4 rounds,7-8,2.5 min between rounds,Right-hand peak volume (4 rounds). Assist nudged 47->46 kg = per-hand ~19 kg as R CF builds. DELOAD not load.
4,Fri 10 Oct (2nd — CF right-hand bias at peak volume; light max-hang; protect weekend outdoor),CF repeaters 7:3 — LEFT-hand pulley-ASSISTED one-hand 20 mm @ 45 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,7-8,2.5 min between rounds,Left fewer rounds (2 vs 4) — R unilateral bias. 45 kg assist = per-hand ~20 kg. DELOAD.
4,Fri 10 Oct (2nd — CF right-hand bias at peak volume; light max-hang; protect weekend outdoor),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),Max hang — sospensioni due mani 20 mm semiarcuata @ +17 kg,7 s,1,3,7.5,2.5 min,Maintenance — preserve the strength ceiling. From W4 24 Aug +17 kg @ RPE 8.
5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),Max hang — sospensioni svase (Moon) @ +20 kg,7 s,1,3,7.5,2.5 min,Maintenance. From W4 24 Aug +20 kg @ RPE 8.
5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~26 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,5 rounds,7-8,2.5 min between rounds,"Hold intensity, ease volume 6->5 rounds vs W4. ~26 kg pulley ASSIST (DELOAD) → per-hand ~19-20 kg (CF+reserve). RPE 7-8, all rounds completable."
5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),Finger deadlift 20 mm — strict FILMED active semi-crimp @ 36 kg,3-5 s hold,2,1,6,90 s,Maintenance single set. Film semi-crimp; protect wrist.
5,Mon 13 Oct (Primary — AE/CF + on-sight integration; hold CF intensity; volume begins easing),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

5,Fri 17 Oct (2nd — last CF right-hand bias session; keep light; hand off fresh fingers toward W6 window),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
5,Fri 17 Oct (2nd — last CF right-hand bias session; keep light; hand off fresh fingers toward W6 window),Max hang — sospensioni due mani 20 mm semiarcuata @ +15 kg,6-7 s,1,2,7,2-3 min,Light; easing into taper.
5,Fri 17 Oct (2nd — last CF right-hand bias session; keep light; hand off fresh fingers toward W6 window),CF repeaters 7:3 — RIGHT-hand pulley-ASSISTED one-hand 20 mm @ 46 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,3 rounds,7,2.5 min between rounds,"Last unilateral R session (3 rounds, easing from 4). 46 kg assist = per-hand ~19 kg. DELOAD not load."
5,Fri 17 Oct (2nd — last CF right-hand bias session; keep light; hand off fresh fingers toward W6 window),CF repeaters 7:3 — LEFT-hand pulley-ASSISTED one-hand 20 mm @ 45 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,7,2.5 min between rounds,Left 2 rounds. 45 kg assist = per-hand ~20 kg. DELOAD.
5,Fri 17 Oct (2nd — last CF right-hand bias session; keep light; hand off fresh fingers toward W6 window),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

6,Mon 19 Oct (LIGHT PRIMER only — single early-week session; TAPER into the weekend on-sight performance window; NOTHING heavy),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,3-4,60-90 s,20 mm half-crimp; keep it short and easy
6,Mon 19 Oct (LIGHT PRIMER only — single early-week session; TAPER into the weekend on-sight performance window; NOTHING heavy),Max hang — sospensioni due mani 20 mm semiarcuata @ +15 kg,5-6 s,1,2,6,2-3 min,"Primer only — touch the pattern, do not fatigue. Reminiscence effect: brief unloading sharpens feel for the weekend."
6,Mon 19 Oct (LIGHT PRIMER only — single early-week session; TAPER into the weekend on-sight performance window; NOTHING heavy),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~27 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,6,2.5 min between rounds,"Taper dose — 2 rounds only, ~27 kg pulley ASSIST (DELOAD) → per-hand ~18-19 kg (CF+reserve), RPE 6, well short of fatigue. Nothing after this before the weekend window."
6,Mon 19 Oct (LIGHT PRIMER only — single early-week session; TAPER into the weekend on-sight performance window; NOTHING heavy),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,No deadlift / no pinch / no unilateral this week. Fresh fingers for the on-sight window.
