Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
2,Antagonist mini-block Mon (post-HB),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-E - active mobility - per doc 12.md/17.md - hip IR/abduction correlates with climbing performance,45s,non fatto,
2,Antagonist mini-block Mon (post-HB),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-E - hip ext rotation + abduction active mobility - FRC-style,45s,non fatto,
,,,,,,,,,
3,Session B (Fri),Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-A - core maintenance - fluidity block: no strength target - moved to Fri (no weekend send to separate from),60s,,
3,Session B (Fri),TRX push-ups feet elevated,3,12,RPE6 (BW),JS-A - shoulder-friendly push - maintenance volume,60s,,
3,Session B (Fri),L-sit tuck,3,12s,RPE6 (BW),JS-B - hands on dumbbells - locked arms - depressed scapulae,60s,,
3,Session B (Fri),DB bench press,3,8,RPE6 (16kg per side),JS-B - tempo 2-0-1 - maintenance load only - no progression this block,75s,,
3,Session B (Fri),Cossack squat (active),2,8 per side,RPE5 (BW),JS-C - hip/adductor mobility - ADDED for fluidity block: hip turnout drives drop-knee/hip-turn quality (KB 17.md),60s,,
3,Session B (Fri),Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-C - ankle ROM for high steps/heel placements (KB 12.md),45s,,
3,Session B (Fri),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - active shoulder mobility - antagonist priority,60s,,
,,,,,,,,,
3,Antagonist mini-block Mon (post-HB),DB seated shoulder press,2,20,RPE5 (5-7kg per side),JS-E - light push antagonist - max 40% BW per Hörst ch.6 - 20 min total mini-block,90s,(con 5.5kg pp) 20;20;20,8
3,Antagonist mini-block Mon (post-HB),DB external rotation lying on side,2,15 per side,RPE5 (2-3kg),JS-E - rotator cuff - upper arm hinged at torso - per Hörst ch.11,75s,12;15;15,6
3,Antagonist mini-block Mon (post-HB),Bent-over arm raise,2,12,RPE5 (3-5kg per side),JS-F - lift arms to side until parallel to floor - elbows straight - per Hörst ch.11,60s,12;12,7
3,Antagonist mini-block Mon (post-HB),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-F - active mobility - per doc 12.md/17.md - hip IR/abduction correlates with movement quality,45s,30''x2;30''x2,6
3,Antagonist mini-block Mon (post-HB),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-F - hip ext rotation + abduction active mobility - FRC-style,45s,30''x2;30''x2,6
,,,,,,,,,
4,Session B (Tue),Hollow body hold arms overhead,3,16s,RPE5 (BW),JS-A - core maintenance - lighter: clean handoff to next meso - quality only,60s,"16"";16"";16""",6.5
4,Session B (Tue),TRX push-ups feet elevated,2,10,RPE5 (BW),JS-A - feet in TRX - body aligned - light push - shoulder-friendly,60s,10;10,6
4,Session B (Tue),L-sit tuck,2,10s,RPE5 (BW),JS-B - hands on dumbbells - locked arms - pattern only,60s,"12"";14""",6
4,Session B (Tue),DB bench press,2,8,RPE5 (14kg per side),JS-B - light push - maintenance only - no heavy push,75s,8;8,6
4,Session B (Tue),Cossack squat (active),2,8 per side,RPE5 (BW),JS-C - hip/adductor mobility - keep ROM for weekend movement,60s,8x2;,7.5
4,Session B (Tue),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-C - active mobility - antagonist priority,60s,,
,,,,,,,,,
4,Antagonist mini-block Mon (post-HB - light),DB seated shoulder press,2,15,RPE4 (5kg per side),JS-D - very light push antagonist - shoulder health maintenance only,90s,,
4,Antagonist mini-block Mon (post-HB - light),DB external rotation lying on side,2,15 per side,RPE4 (2kg),JS-D - rotator cuff maintenance - very light,75s,,
4,Antagonist mini-block Mon (post-HB - light),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-E - active mobility - keep joints moving,45s,,
4,Antagonist mini-block Mon (post-HB - light),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-E - hip mobility for weekend movement,45s,,
