Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,DB reverse wrist curl (wrist extension),2,15 per side,RPE4 (2kg),JS-B - ANTAGONIST wrist - light only - protect right wrist before the trip - no pull/push loading this week,60s,,
2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-B - shoulder mobility/prevention - closes a deliberately light pre-trip session,60s,,

3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Weighted pull-ups,4,"3, then 2x top",RPE8 (+9kg),JS-A - 3s eccentric - PULL-REBUILD SPINE - LAST progressive push: +9kg DEFERRED PR attempt at low reps (set1 3 reps then 2-3 heavy top singles/doubles) where RPE headroom exists vs 4x6 - modest thread NOT a strength peak - back off to +8kg for remaining sets if any rep grinds,3min,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Lock-off hold @ 90° (single-arm - pulley ASSISTED),3,12s per arm,RPE7.5-8 (24kg pulley assist / DELOAD),JS-A - assisted single-arm - PROGRESS BY REDUCING ASSIST: 24kg = less assist than W1's 25kg (= harder) - full volume 3x12s - never add kg,90s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests,within JS-A rests,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load held (maintenance - the progression this week is the pull thread only),90s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Diamond push-ups,3,10,RPE7 (BW),JS-B - EXECUTABLE SUBSET - standard volume,75s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - EXECUTABLE SUBSET - working prescription,75s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,DB reverse wrist curl (wrist extension),3,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - protect right wrist - stop at any pain,60s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR,45s,,
3,Session (Fri 3 Oct - after hangboard) - PULL REBUILD / +9kg ATTEMPT,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,

4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Weighted pull-ups,4,5,RPE7.5 (+8kg),JS-A - 3s eccentric - MAINTENANCE: pull thread holds +8kg working load (no progression) - climbing 3x/week + hangboard 2x/week this week so protect recovery - +9kg PR already attempted W3,2min30s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Lock-off hold @ 90° (single-arm - pulley ASSISTED),3,12s per arm,RPE7.5 (26kg pulley assist / DELOAD),JS-A - assisted single-arm - 26kg = working assist level (maintenance - back to standard assist to hold load flat) - never add kg,90s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests - supports fatigue-state footwork in AE peak week,within JS-A rests,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load held,90s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Diamond push-ups,3,10,RPE7 (BW),JS-B - EXECUTABLE SUBSET - standard volume,75s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - EXECUTABLE SUBSET - working prescription,75s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),DB reverse wrist curl (wrist extension),3,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - forearm extensor balance vs 2x hangboard weeks - protect right wrist,60s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR,45s,,
4,Session (Mon 5 Oct - after hangboard) - MAINTENANCE (climbing volume peak),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,

5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Weighted pull-ups,4,5,RPE7.5 (+8kg),JS-A - 3s eccentric - MAINTENANCE identical to W4 - climbing 3x/week + hangboard 2x/week - hold load flat - protect recovery into the performance window,2min30s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Lock-off hold @ 90° (single-arm - pulley ASSISTED),3,12s per arm,RPE7.5 (26kg pulley assist / DELOAD),JS-A - assisted single-arm - 26kg = working assist level (maintenance) - never add kg,90s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests - keep ROM for on-sight simulation climbing,within JS-A rests,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load held,90s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Diamond push-ups,3,10,RPE7 (BW),JS-B - EXECUTABLE SUBSET - standard volume,75s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - EXECUTABLE SUBSET - working prescription,75s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,DB reverse wrist curl (wrist extension),3,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - protect right wrist - stop at any pain,60s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - keep ROM for on-sight simulation,45s,,
5,Session (Mon 12 Oct - after hangboard) - MAINTENANCE,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,

6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Weighted pull-ups,3,5,RPE6.5 (+8kg),JS-A - 3s eccentric - TAPER: working load kept but volume trimmed (3x5) - hand off a fresh pull chain to the W6 on-sight performance window - NO heavy work this week,2min30s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Lock-off hold @ 90° (single-arm - pulley ASSISTED),2,10s per arm,RPE6.5 (26kg pulley assist / DELOAD),JS-A - assisted single-arm - 26kg working assist level - reduced sets and seconds (taper) - pattern touch only - never add kg,90s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests - prime hip turnout for the performance weekend,within JS-A rests,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,DB bench press,2,8,RPE6 (18kg per side),JS-B - tempo 3-0-1 - light push - clean taper - no heavy work,90s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Diamond push-ups,2,10,RPE6 (BW),JS-B - EXECUTABLE SUBSET - pattern only,75s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests - prime ankle ROM for outdoor footwork,within JS-B rests,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-C - no ankle weights - quality only (taper),60s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,DB reverse wrist curl (wrist extension),2,12 per side,RPE4 (2kg),JS-C - ANTAGONIST INTEGRATED - light - protect right wrist - stop at any pain,60s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - keep ROM for the on-sight window,45s,,
6,Session (Mon 19 Oct - after hangboard) - LIGHT TAPER,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session and the block,45s,,
