Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,REPS LOG,RPE LOG
4,Sab 5 Set (INDOOR gym - lead + boulder),Vie ripetute — AE/pompaggio: vie verticali 6a-6b COMPLETABILI a giri - TUT 120-180s - leggi a ogni riposo. RPE 7 cap,3-5 vie,20-35 mov,3-5 giri (1 lap/via),1:1 (riposo = tempo di salita),5,7.5
4,Sab 5 Set (INDOOR gym - lead + boulder),Blocchi flash + tecnici — qualità dopo le vie: problemi grado flash (no fail) + lettura su 1-2 nuovi. Modera: domani outdoor. RPE 6,Fino a 30',4-10 mov,6-8 blocchi,2-3' tra blocchi,6,7
,,,,,,,,
4,Dom 6 Set (OUTDOOR lead con amici),Vie flash — on-sight outdoor: 4-6 vie MAI viste 6b/6c - leggi da terra + ai riposi - gestione pompaggio. RPE 7,4-6 vie,15-30+ mov,1 salita on-sight/via,Pieno recupero tra vie (a piacere),4,7.5
4,Dom 6 Set (OUTDOOR lead con amici),Vie flash (on-sight vero) — OPZIONALE: 1 burn on-sight PURO su un 7a ispirante - da FRESCO dopo warm-up - cadere = ok - NIENTE assedio redpoint,1-2 vie,secondo linea,1 tentativo on-sight,Pieno recupero prima del burn (10-15'),1 (dato 7a ma decisamente più facile),6.5
,,,,,,,,
5,Lun 7 Set (home gym libero tutto il giorno),RIPOSO / recupero attivo — weekend pesante alle spalle: NIENTE dita oggi. Opzionale SOLO mobilità + antagonisti leggeri a mani libere (spalle/polsi/anche). Obiettivo della settimana: arrivare FRESCHI al test di venerdì,—,—,—,—,,
,,,,,,,,
5,Mar 8 Set (climbing gym - dopo le 18),Blocchi flash — ON-SIGHT SIM su problemi MAI provati ground-up (UNICO tocco climbing midweek - RPE 6 CAP perché il weekend è stato pesante - volume BASSO: mini-taper + 2 giorni di scarico prima del test - rituale su OGNI problema: scan → visualizza → sali - un tentativo flash poi cambia - NIENTE limit),Fino a 30',4-8 mov,4-6 problemi nuovi,3-5' tra problemi,,
,,,,,,,,
5,Mer 9 Set,RIPOSO climbing (protezione test) — home gym 13-17 SOLO mobilità/antagonisti leggeri se vuoi: NIENTE dita e NIENTE trazioni pesanti (il test di venerdì include 3RM trazioni + stacchi - non pre-affaticarli),—,—,—,—,,
,,,,,,,,
5,Gio 10 Set,RIPOSO completo — giornata piena di lavoro. Ideale: dita e catena di trazione scariche prima del test,—,—,—,—,,
,,,,,,,,
5,Ven 11 Set (WFH - home gym tutto il giorno),TEST FITNESS a dita FRESCHE — batteria completa in testing/fitness-test-protocol.md: peso · 3RM trazioni · AMRAP · MVC7 20mm semiarcuata (conferma 2x) · CF 7:3 · stacchi 20mm · (RFD + monolaterali se hai la cella di carico). Occhio al POLSO: fermati se fa male. Compila la colonna Test 4,Secondo protocollo,—,—,Recuperi lunghi: 4' prima dei massimali,,
,,,,,,,,
5,Sab/Dom 12-13 Set,Blocchi flash / Vie flash — FLESSIBILE primo tocco leggero verso il meso autunnale (0-1 giorni - DOPO il test) — problemi o vie mai visti con rituale di lettura - volume basso RPE CAP 6-7 - chiudi con movimento facile pulito - NIENTE tentativi limite,Mezza giornata,4-8 mov,secondo menu,A piacere,,
